,Demand
A1,68.8
A2,64
A3,73.8
A4,59.6
A5,108
A6,69.6
A7,69.6
A8,34.8
A9,83.2
A10,59.8
A11,93.8
A12,49.4
A13,19.8
A14,59
A15,74.6
A16,69.2
A17,39.4
A18,44.6
A19,49.6
A20,64
A21,74.4
A22,59.2
A23,123
A24,77
A25,86
A27,93.8
A54,136
